id;sentiment;text
1;positive;Қ.И.Сатбаев атындағы қазақ ұлттық техникалық зерттеу университеті, Қазақстан Республикасының дамыған озық 30 елдің қатарына  қатарына қосылу үшін орасан зор ықпалын тигізіп, жастардың заманалық ғылымыи жетістіктерді игеріп,инавацялық бағытта жұмыс жасауына, еліміздің еңртеңі мен келешегі үшін еңбек етуіне үлкен пайдасын тигізіп отырған ең өзық, ең жоғары өредегі бірден бір университет.
2;positive;Өте керемет өмірді көрсететін өмір мектебі!
3;positive;Бұл Алматыдағы ең жақсы университет шығар. Менеджмент қызықты реформалар жүргізіп, университетті студенттер үшін заманауи, тартымды және өзекті етуде. Дегенмен, техникалық мамандықтар әрқашан сұранысқа ие болады. Егер мен Қазақстанда абитуриент болсам, Политехникалық университетті таңдар едім!
4;negative;ҒЗТКЖ қай жерде орналасқанын ешкім білмейді, оқытушылар да, студенттер де білмейді және институт директорлары білмейді, ғимаратта институт па, университет пе, нақты жазу жоқ, күзетшілер мүлде білмейді.
5;positive;Жақсы институт! Ұзақ уақыт бар. Ол біздің дәуіріміздің мың тоғыз жүз отыз төртінші жылы құрылған. Әрқашан білімді студенттерді бітірген немесе университетке түсушілерді қалай айту керек. Жақсы оқытушылар - доценттер, процессор шеберлері және басқа ғылыми дәрежелер. Мұнда кешке, жұмыстан кейін, егер бар болса магистратура бар. Қысқасы, білім алу оңай емес, бірақ ол мектептен кейін танымал және 
6;negative;4 курс, 2 жыл су және қажет емес білім. Бірақ не істеу керек - шағым беру үшін күнә беру
7;negative;Тым ескірген және таяқ жоқ.
8;positive;Адамдар бұл университеттің мықты мұнай-газ инженері мектебі бар дейді
9;negative;Бұл университетке кірме. Гопников өлтіреді
10;positive;Үздік студенттер, сырты үлкен дәретхана сияқты көрінгенімен, ғимарат іші әдемі безендірілген
11;positive;IT мамандықтары бойынша үздік университет, кешіріңіз, жатақхана жоқ.
12;positive;Ол осы университетті бітірді, жақсы оқытушылар, бірақ университеттің өзінде бұдан жаман ештеңе жоқ ..!
13;negative;Мен 3 қойдым, өйткені мәдениет төмен
14;negative;Докторлық емтихандарды тапсырды, жемқор шенеуніктер басында отыр!
15;negative;Жексұрын университет, ең жаманы. Жаттығу жоқ. білім нөл береді. Шарашкина кеңсесі. Ол үшін ешқандай көліктерге бармаңыз, әсіресе фин және басқару үшін.
16;positive;Тамаша университет. Мен өзім VTIPO мамандығының IT факультетінің 2 курс студентімін және түскеніме ешқашан өкінген емеспін. Мұғалімдер мүмкіндігінше мәселеңізді шешіп, жиналысқа барады. Ал сабақтардың сапасы жоғары. Ол сондай-ақ жұмыспен қамту перспективасын қамтамасыз етеді. Қызықты студенттік өмір сізді назардан тыс қалдырмайды
17;positive;Жақсы университет. Кем дегенде, бұл шамамен 5 жыл бұрын болған. Ағылшын тілінде лайықты білім. Ал негізгі проблемалар Қазақстан Республикасының бүкіл білім беру жүйесіндегідей.
18;positive;"Бұл лайықты университет. Мен ол жаққа бірінші курста болдым, сосын тастап кеттім ..
Мен мұнда келмес бұрын бағдарламалық жасақтама жасау туралы ештеңе білмедім, бір жылдың ішінде мен көп нәрсені білдім. Егер сіз бұл жерге жібере алмайтын болсаңыз, көп уақытты оқуыңызға және жұмыс істеуге тура келетіндігін айтқым келеді."
19;positive;Өте жаксы жер балам оқиды білім алып жатыр
20;positive;Әл-Фараби атындағы Қазақ ұлттық университетіне биыл 85 жыл. Осы жыл ішінде университет талай белестерге жетті және әлемдік деңгейге шықты. Қазақ ұлттық университеті жастарға көптеген мүмкіншіліктер жасауда. Бұл университетте шетелден келген профессорлар сабақ береді.
21;positive;Өте жақсы оқу орны !!! Магистратура оқу кезінде ешқандай қиындықтар болмады. Ұстаздар өте жоғары білімді!
22;neutral;Менің оқыған қара шаңырағым.
23;positive;Мен үшін ең сүйікті ғылым ордасы!
24;positive;Бүгін мен алғаш рет Қазақстан университетінде, дәлірек айтсақ, анам оқыған ҚазМУ-да болдым. Анамның жолын қуу керек шығар😄 шетелде емес, осында оқу. Маған бұл жер өте ұнады, барлық кампустарда айтып жеткізу мүмкін емес таулар көрінеді. Мен докторантураға түсуім керек
25;positive;Тамаша. Бұл менің университетім. Қазір мұнда бәрі өзгерді. Көптеген жаңа ғимараттар. Мен білім сапасы туралы білмеймін. Ең бастысы, жемқор оңтүстік тұрғындары ол жерге келмейді.
26;negative;Қазақстандағы ең нашар университет, менің GPA төмен болды, GPA жоғарылату ережесі бар, бірақ олар мені бірден сәтсіздікке ұшыратып, мені бір жыл қайталауға мәжбүр етті, бұған сенбе.
27;negative;Университет сияқты қабылдау комиссиясының жұмысы жолға қойылмаған, ал ZERO ұйымдары, техникалық хатшылар адамдармен қалай жұмыс істеуді білмейді, және олар университеттің оқытушылары, мен олардың студенттерге қалай сабақ беретінін елестете де алмаймын. Қабылдау комиссиясының төрағасы сағат 12.00-ге келіп, өтініш берушілердің көп болғанымен, жиналыс өткізуді ұйғарды. Тек менің қызымның арқасында біз осы университетті таңдадық, сондықтан ол жаққа бармаймыз, неге елде тәртіпсіздік бар,
28;negative;Бір жылдан кейін магистр дәрежесін алғыңыз келе ме? 2 000 000 теңге төлеңіз, оған + 300 000 тауар айырмашылығы бар, сонда сіз жануар сияқты қараласыз! Практика басталған кезде келісімшарт жасалмады, әдеттегі университеттерде олар практикадан бір ай бұрын береді! Нәтижесінде олар бұл келісімшартты қателіктермен жасады, ал практика күнделігі - бұл жай нәрсе! Көптеген қателіктер !!! Ал тренингтің соңында бұл КККОМБО болды, диссертациялар қорғауға 2 апта қалғанда тақырып өзгерді (бұл біздің емес, сіздердің проблемаларыңыз деді) 👍🏻 Жалпы, магистратурада басқа жерде, тіпті 3 есе арзан оқыған дұрыс! Ал қазынашылық бұрын мақтаулармен бірдей емес!
29;positive;Бұл көп жағынан республикадағы ең үздік университет екені даусыз. Менің Алма материгім. Контингент әр түрлі, бірақ сапа саннан өседі
30;neutral;Жаңа, тазалык жағынан жаксы. Билим жағынан жаксы деп айта алмайм.
31;negative;Бұл ең нашар университет, мүмкін жүз, қалыпты оқығысы келетіндердің бәрі, оны бұзбаңыз, болашағыңызға осында кірмеңіз
32;negative;Боорлық көзқарас. Кіре берісте питбулл атты әйел тұр. Маска немесе аштық үшін өлтіруге дайын. Мен студенттерге айқайлауға үйреніп қалғанмын. Ужас. Біліктілікті арттыру курстарына келдік, ол бізді өлтіре жаздады. Бейшара студенттер күнде осылай өтеді. Мен баламды осында оқуға бермес едім. Кіру олар аудиторияда қандай болса? Жалпы, бір теріс.
33;neutral;Мұғалімдер құзыретті. Ресейлік филиалдарда гранттар қысқартылды, сондықтан мен қазақ тілінде оқуға тура келеді, бір жағынан өз ана тілімді үйренетінім жақсы, екінші жағынан, мен оны білмесем де, мен әлі де патриотпын және азаматпын, бірақ сонымен бірге менің грантым қысқартылды. Стипендия 60 күнге кешіктірілді. Мені осы уақытқа дейін қазан мен қарашаға шығарған жоқ, бірақ қыркүйекке 29 қазанда шығардым.
34;negative;Жазда төлеу үшін арнайы студенттерді құлату
35;positive;Ғимарат ұқыпты, интерьері білім, мөлдір қабырғалар. Ыңғайлы көрінеді.
36;negative;Мен 2 сағат күттім дайындалған құжатты алу үшін, мен қызметкерлердің қалай жұмыс істейтінін, не істеп жатқанын түсінбеймін
37;positive;Бұл оқу орны жыл сайын дамып келеді. Оның болашағы бар.
38;positive;Өте жақсы!
39;negative;Жаман емес
40;positive;Өте жағымды зерттеу
41;positive;Элиталық орын
42;positive;Керемет жер
43;negative;Онша емес
44;negative;Нашар университет
45;negative;Ит байласа тұрмайтын жер
46;negative;Бұл университетке қайтып келмеспін
47;negative;Атын естісем жүрегім айниды
48;positive;Қуанатындай университет
49;positive;Абай атындағы ҚазҰПУ  2005 жылғы түлегі едік...қайран алтын уақыт,студенттік өмір өзегі бір ғани бет. Енді міне 15жылдай өтіпті осы білім ордасын бітіргенімізге.Жоғарғы білім ордасына айтарым асқатай берсін
50;negative;Біз «Шапағат» студенттерге қызмет көрсету орталығынан кеңес алуға бардық. Онда Карина есімді бойжеткен өзінің деректерін (телефон нөмірі мен ЖСН) айтуды талап етеді, себебін сұрағанда, ол шынымен жауап бере алмады, ол қажет екенін айтты. Ол барлық деректерді компьютерге енгізгеннен кейін мен басқа ауруханаға ауыстырылғаным туралы хабарлама алдым. Бұл қалай болды? Неге менің білімімсіз және келісімімсіз? Байланыс орталығына қоңырау шалсаңыз, телефонды ешкім көтермейді, ал қоңырау келсе, тастайды. Жеке деректерді беру кезінде сақ болыңыз.
51;negative;Мен болған ең нашар қабылдау бөлімі. Ұйымдағы өте жиіркенішті қызметкерлер. Қоңырауларға жауап берілмесе, сізге не үшін байланыс орталығы қажет? Қоңырау түскен кезде олар оны тастайды.
52;negative;Бүктелген, нашар университет, қарапайым құжаттарды жинау тез жұмыс жасамайды, «Шапағат» ұйымы - бұл бөлек тақырып, мен сізге кеңес бермеймін!
53;negative;Әділетсіздік бәрінен жоғары
54;negative;Адамгершілік жоқ, олар студенттерді қалай тез және көп ақша жинау керектігін ойлайды
55;negative;Құрметті әкімшілік, сіздің сайт лицензиясы жоқ, сайтқа кіруге МҮМКІН емес
56;positive;Жақсы университет. Жақсы жерде.
57;negative;Мұғалімдер білімсіз 
58;positive;Қазақстандағы педагогикалық жоғары оқу орындарының ішінде бірінші орында
59;negative;Қызметкерлердің қызметі қорқынышты
60;negative;барлығы толқтап қалған, түк жоқ
61;positive;Мұғалімдердің зейнетке шығу жасы қаралған дұрыс.Ұрпағыңа апат жасама.Жасы келген сайын көз көруден,құлақ естуден қалады.Өкпесін сүйретіп жүріп жасы келген адам қалай сабақ береді.Мұғалімнің мәртебесін көтерем десең оқушыға мазақ.күлкі қылмай абыроймен ақыл-есі бүтін,қайраты бар кезде зейнеткерлікке жібер.Атағыңа да ,ақшаңа да рақмет.Абыроймен ,»ұстаз деген ұлағатты есімді»қастерлеп сөзіңді мыжымай,қалтаңдамай мектептен кеткенге не жетсін!55 жасты қолдаймын
62;positive;Мұғалім мәртебесін көтеру өте орынды.
63;negative;Қайырлы күн ! Сіздің университетте неге жұп жоқ? Неліктен мұғалімдер жұмысқа келмеуге рұқсат береді? Студенттерге деген мұндай көзқарасты бірінші рет кездестіруім, балам оқуға деген ынтасын жоғалтып алды, уақыт өте келе оқу сағаттарын бір жұптың кесірінен 17-ге дейін студент қаланы аралап кетпейтіндей етіп белгілейсіз. кешкі сағат! Бір жұп 9:00, екіншісі 17:00!Бұл зерттеу ме? Сіз студенттерді мүлдем оқытасыз ба? Бұлай жалғаса берсе Білім министрлігіне жазамын!
